x,from,to,arrows
1,71,1,to
2,71,2,to
3,71,3,to
4,71,10,to
5,71,39,to
6,71,42,to
7,71,43,to
8,71,45,to
9,71,52,to
10,71,55,to
11,71,57,to
12,71,63,to
13,71,64,to
14,72,4,to
15,73,5,to
16,73,6,to
17,73,7,to
18,73,18,to
19,73,21,to
20,73,35,to
21,73,37,to
22,73,47,to
23,73,48,to
24,73,56,to
25,73,62,to
26,73,65,to
27,73,66,to
28,74,8,to
29,74,9,to
30,75,11,to
31,75,44,to
32,75,50,to
33,75,60,to
34,76,12,to
35,76,69,to
36,77,13,to
37,78,14,to
38,78,15,to
39,78,23,to
40,78,24,to
41,78,28,to
42,78,29,to
43,78,30,to
44,78,31,to
45,78,32,to
46,78,34,to
47,78,41,to
48,78,68,to
49,78,70,to
50,79,16,to
51,80,17,to
52,80,67,to
53,81,19,to
54,82,20,to
55,83,22,to
56,84,25,to
57,85,26,to
58,86,27,to
59,86,46,to
60,86,58,to
61,87,36,to
62,87,38,to
63,88,40,to
64,89,49,to
65,89,59,to
66,90,51,to
67,91,53,to
68,92,54,to
69,93,61,to
